Event ID,Magnitude,Datetime UTC,Latitude,Longitude,Region,Depth(KM,Auth
20181114_0000017,ml 2.0,2018-11-14T04:10:51.5Z,36.39,28.71,DODECANESE IS.-TURKEY BORDER REG,7,DDA
20181114_0000015,mb 5.0,2018-11-14T04:09:40.6Z,34.75,140,"NEAR EAST COAST OF HONSHU, JAPAN",108,EMSC
20181114_0000029,ml 3.0,2018-11-14T03:45:35.4Z,37.44,20.58,IONIAN SEA,1,THE
20181114_0000010,ml 2.5,2018-11-14T03:19:37.7Z,38.84,26.53,NEAR THE COAST OF WESTERN TURKEY,2,EMSC
20181114_0000008,md 2.1,2018-11-14T03:19:10.4Z,36.61,-121.22,CENTRAL CALIFORNIA,8,NC
20181114_0000011,m 4.1,2018-11-14T03:15:35.0Z,15.14,-94.58,"OFF COAST OF OAXACA, MEXICO",16,UNM
20181114_0000007,mb 3.3,2018-11-14T03:08:50.1Z,36.29,-97.02,OKLAHOMA,5,NEIC
20181114_0000009,m 4.0,2018-11-14T03:04:10.0Z,16.19,-95.18,"OAXACA, MEXICO",60,UNM
20181114_0000006,ml 3.3,2018-11-14T02:59:01.0Z,-21.48,-68.41,"ANTOFAGASTA, CHILE",126,GUC
20181114_0000005,md 2.7,2018-11-14T02:38:01.6Z,38.81,-122.82,NORTHERN CALIFORNIA,2,NC
20181114_0000027,ml 2.6,2018-11-14T02:17:58.0Z,37.61,20.53,IONIAN SEA,2,THE
20181114_0000025,ml 3.0,2018-11-14T02:07:05.7Z,37.4,20.61,IONIAN SEA,10,THE
20181114_0000023,ml 2.6,2018-11-14T02:04:43.0Z,37.56,20.33,IONIAN SEA,1,THE
20181114_0000004,m 3.9,2018-11-14T01:44:30.0Z,9.84,-84.06,COSTA RICA,65,UCR
20181114_0000002,ml 2.1,2018-11-14T01:18:54.4Z,33.56,-117.99,"GULF OF SANTA CATALINA, CALIF.",11,NEIR
20181114_0000003,ml 3.8,2018-11-14T01:13:35.0Z,37.69,20.51,IONIAN SEA,2,EMSC
20181114_0000013,ml 2.3,2018-11-14T00:54:01.0Z,36.45,28.69,DODECANESE IS.-TURKEY BORDER REG,7,DDA
